Rajonas;apras;Apraðymas;Buto nuoroda;Namo kaina;Plotas;Ðirdutës;Sklypo plotas;Statybos metai;Ðildymas;Irengimas
Pavilnys,;['Þilvièiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Pavilnys,', 'Þilvièiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73221;1750;314 ;1;17 a;1997;Kita, dujinis;Árengtas
Kalnënai,;['Ðvedø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Kalnënai,', 'Ðvedø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-72693;5000;323,93 ;10;25 a;2004;Dujinis;Árengtas
Naujamiestis,;['Vandentiekio', 'g.,', 'medinis', 'namas', 'nuomai'];['Naujamiestis,', 'Vandentiekio', 'g.,', 'medinis', 'namas', 'nuomai'];www.aruodas.lt/5-73169;999;135 ;6;15 a;1965 statyba, 2015 renovacija;Centrinis, kita;Árengtas
Kalnënai,;['Moldovos', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];['Kalnënai,', 'Moldovos', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-73297;1800;112 ;5;2,6 a;2016;Aeroterminis;Árengtas
Nemëþio;['k.,', 'Mokyklos', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Nemëþio', 'k.,', 'Mokyklos', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-51215;850;102 ;8;7 a;2016;Aeroterminis;Árengtas
Salininkai,;['Kelmijos', 'Sodø', '17-oji', 'g.,', 'blokinis', 'namas', 'nuomai'];['Salininkai,', 'Kelmijos', 'Sodø', '17-oji', 'g.,', 'blokinis', 'namas', 'nuomai'];www.aruodas.lt/5-73231;950;140 ;7;6 a;2004;Elektra, dujinis;Árengtas
erkiai,;['Oþkiniø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['erkiai,', 'Oþkiniø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73225;1500;160 ;22;6 a;2018;Aeroterminis;Árengtas
Pavilnys,;['Tolimoji', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Pavilnys,', 'Tolimoji', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-21854;1800;250 ;6;14 a;2004;Skystu kuru;Árengtas
Uosininkø;['II', 'k.,', 'Vilniaus', 'g.,', 'ràstinis', 'namas', 'nuomai'];['Uosininkø', 'II', 'k.,', 'Vilniaus', 'g.,', 'ràstinis', 'namas', 'nuomai'];www.aruodas.lt/5-73207;120;118 ;13;17 a;1950 statyba, 2010 renovacija;Geoterminis;Árengtas
Lazdynëliai,;['Vakaro', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];['Lazdynëliai,', 'Vakaro', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-73159;980;149 ;5;1,5 a;2009;Dujinis;Árengtas
