Rajonas;apras;Apraðymas;Buto nuoroda;Namo kaina;Plotas;Ðirdutës;Sklypo plotas;Statybos metai;Ðildymas;Irengimas
Buivydiðkës,;['Buivydiðkiø', 'g.,', 'blokinis', 'namas', 'nuomai'];['Buivydiðkës,', 'Buivydiðkiø', 'g.,', 'blokinis', 'namas', 'nuomai'];www.aruodas.lt/5-73151;150;550 ;6;20 a;2001;Dujinis;Árengtas
Markuèiai,;['Pipirø', 'g.,', 'Namas', '(gyvenamasis)', 'nuomai'];['Markuèiai,', 'Pipirø', 'g.,', 'Namas', '(gyvenamasis)', 'nuomai'];www.aruodas.lt/5-73121;600;90 ;5;8 a;1960;Centrinis, kietu kuru;Kita
Justiniðkës,;['Skatulës', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Justiniðkës,', 'Skatulës', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73143;2000;150 ;9;6 a;2012;Dujinis;Árengtas
Antakalnis,;['Þolyno', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Antakalnis,', 'Þolyno', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73129;2000;200 ;1;8 a;2005;Dujinis;Árengtas
Didþiosios;['Rieðës', 'k.,', 'Lygumø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Didþiosios', 'Rieðës', 'k.,', 'Lygumø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-69691;1300;162 ;9;7,5 a;2019;Dujinis;Árengtas
Antakalnis,;['Mileiðiðkiø', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];['Antakalnis,', 'Mileiðiðkiø', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-73287;1650;105 ;9;3 a;2020;Dujinis, saulës baterijos;Árengtas
kampiai,;['Valakupiø', 'g.,', 'Namo', 'dalis', 'nuomai'];['kampiai,', 'Valakupiø', 'g.,', 'Namo', 'dalis', 'nuomai'];www.aruodas.lt/5-73077;1000;100 ;6;1 a;2010;Dujinis;Árengtas
Kalikstiðkiø;['vs.,', 'Àþuolø', '1-oji', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Kalikstiðkiø', 'vs.,', 'Àþuolø', '1-oji', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-72527;1000;199,61 ;18;10 a;2012;Skystu kuru, dujinis, kietu kuru;Árengtas
Senamiestis,;['Ðaltiniø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Senamiestis,', 'Ðaltiniø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73019;3000;245 ;7;3 a;2010;Kita;Árengtas
Balsiai,;['Oþkiniø', 'Sodø', '6-oji', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Balsiai,', 'Oþkiniø', 'Sodø', '6-oji', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-72987;1400;116 ;5;6 a;2021;Aeroterminis;Árengtas
Þvërynas,;['Þelvos', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];['Þvërynas,', 'Þelvos', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-72977;750;250 ;11;3 a;2000 statyba, 2000 renovacija;Dujinis;Árengtas
Balsiai,;['Laimos', 'g.,', 'monolitinis', 'namas', 'nuomai'];['Balsiai,', 'Laimos', 'g.,', 'monolitinis', 'namas', 'nuomai'];www.aruodas.lt/5-72937;1700;200 ;2;10 a;2000 statyba, 2016 renovacija;Centrinis, geoterminis, saulës baterijos;Árengtas
Antakalnis,;['Ðalpusniø', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];['Antakalnis,', 'Ðalpusniø', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-73079;680;95 ;27;3 a;2002;Dujinis;Árengtas
Nemenèinës;['m.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];['Nemenèinës', 'm.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];www.aruodas.lt/5-73263;700;100 ;7;4 a;2021;Kita;Árengtas
Baltupiai,;['Ðeðkinës', 'Sodø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Baltupiai,', 'Ðeðkinës', 'Sodø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-72639;1200;110 ;48;2,13 a;2021;Dujinis;Árengtas
Nemëþio;['k.,', 'mûrinis', 'namas', 'nuomai'];['Nemëþio', 'k.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-72867;100;50 ;18;10 a;1972;Dujinis;Árengtas
Tarandë,;['Pikutiðkiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Tarandë,', 'Pikutiðkiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-67403;920;120 ;36;6 a;2000;Centrinis, elektra, dujinis;Árengtas
Liepynø;['k.,', 'Ðiaudinës', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Liepynø', 'k.,', 'Ðiaudinës', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-72315;1100;160 ;13;120 a;2019;Aeroterminis;Árengtas
Antakalnis,;['Virðupio', 'Sodø', '4-oji', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Antakalnis,', 'Virðupio', 'Sodø', '4-oji', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-38704;739;70 ;29;6 a;2002;Dujinis;Árengtas
Antakalnis,;['B.', 'Sruogos', 'g.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];['Antakalnis,', 'B.', 'Sruogos', 'g.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];www.aruodas.lt/5-72795;950;85 ;22;9 a;2000;Dujinis;Árengtas
Antakalnis,;['Petro', 'Rimðos', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];['Antakalnis,', 'Petro', 'Rimðos', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-73245;2200;275 ;0;3 a;1999;Elektra;Árengtas
Eþeraièiø;['k.,', 'mûrinis', 'namas', 'nuomai'];['Eþeraièiø', 'k.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73111;3650;345 ;1;20 a;2016;Kita;Árengtas
Antakalnis,;['Mileiðiðkiø', 'Sodø', '11-oji', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Antakalnis,', 'Mileiðiðkiø', 'Sodø', '11-oji', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73303;1500;250 ;4;6 a;2015;Geoterminis;Árengtas
Þemieji;['Paneriai,', 'Ðumsko', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];['Þemieji', 'Paneriai,', 'Ðumsko', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-73301;1200;115 ;5;5,66 a;2019;Aeroterminis;Árengtas
Aviþieniø;['k.,', 'Aviþø', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];['Aviþieniø', 'k.,', 'Aviþø', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-73299;1000;134 ;2;2 a;2009;Dujinis;Árengtas
Senamiestis,;['Ðaltiniø', 'g.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];['Senamiestis,', 'Ðaltiniø', 'g.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];www.aruodas.lt/5-73291;3000;245 ;0;3 a;2010;Dujinis;Árengtas
Senamiestis,;['Ðaltiniø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Senamiestis,', 'Ðaltiniø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73019;3000;245 ;7;3 a;2010;Kita;Árengtas
Antakalnis,;['Ðilo', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Antakalnis,', 'Ðilo', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73289;2300;266 ;2;4,67 a;2009;Dujinis;Árengtas
kampiai,;['Rato', 'g.,', 'mûrinis', 'namas', 'nuomai'];['kampiai,', 'Rato', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73283;4500;330 ;1;10 a;2010;Centrinis kolektorinis, centrinis, dujinis;Árengtas
Ðnipiðkës,;['Ðirvintø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Ðnipiðkës,', 'Ðirvintø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73273;1500;200 ;2;20 a;2016;Dujinis;Árengtas
Pavilnys,;['Tolimoji', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Pavilnys,', 'Tolimoji', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73271;1800;250 ;1;14 a;2004;Skystu kuru;Árengtas
Pavilnys,;['Tolimoji', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Pavilnys,', 'Tolimoji', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-21854;1800;250 ;6;14 a;2004;Skystu kuru;Árengtas
Antakalnis,;['Ðilo', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Antakalnis,', 'Ðilo', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73269;2300;266 ;0;4,7 a;2009;Dujinis;Árengtas
Lazdynai,;['Palaimos', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Lazdynai,', 'Palaimos', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73265;1300;160 ;4;6 a;2016;Kita;Árengtas
Paðilaièiai,;['Ukmergës', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];['Paðilaièiai,', 'Ukmergës', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-73259;800;92,73 ;15;1 a;2002;Dujinis;Árengtas
Antakalnis,;['Nemenèinës', 'pl.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];['Antakalnis,', 'Nemenèinës', 'pl.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];www.aruodas.lt/5-73243;800;105 ;13;6 a;2020 statyba, 2020 renovacija;Dujinis;Árengtas
Bukèiai,;['Bukèiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Bukèiai,', 'Bukèiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73241;2800;280 ;2;13,6 a;2007;Dujinis, kita, centrinis kolektorinis;Árengtas
Lazdynëliai,;['Bukèiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Lazdynëliai,', 'Bukèiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73239;2800;280 ;0;13,6 a;2007;Dujinis, kita, centrinis kolektorinis;Árengtas
Lazdynëliai,;['Bukèiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Lazdynëliai,', 'Bukèiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73133;2800;280 ;0;13,55 a;2007;Dujinis;Árengtas
Lazdynëliai,;['Bukèiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Lazdynëliai,', 'Bukèiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-72599;2800;280 ;3;13,55 a;2007;Dujinis;Árengtas
kampiai,;['Pasakø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['kampiai,', 'Pasakø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73219;5890;533 ;2;13,3 a;2007;Kita, dujinis, centrinis;Árengtas
Þvërynas,;['Vytauto', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Þvërynas,', 'Vytauto', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73215;10000;689 ;2;10 a;2015;Dujinis;Árengtas
Zujûnø;['k.,', 'Buivydiðkiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Zujûnø', 'k.,', 'Buivydiðkiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73213;700;78 ;4;5 a;2018;Elektra, kietu kuru;Árengtas
Paneriai,;['Vasarotojø', 'g.,', 'ràstinë', 'namo', 'dalis', 'nuomai'];['Paneriai,', 'Vasarotojø', 'g.,', 'ràstinë', 'namo', 'dalis', 'nuomai'];www.aruodas.lt/5-73191;700;205 ;3;7 a;1940 statyba, 2010 renovacija;Dujinis, kietu kuru;Árengtas
Zujûnai,;['mûrinis', 'namas', 'nuomai'];['Zujûnai,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73189;900;130 ;14;4 a;2014;Dujinis;Árengtas
Naujininkai,;['Dusinënø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Naujininkai,', 'Dusinënø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73177;1300;175,5 ;2;8,2 a;2021;Aeroterminis;Árengtas
Salininkai,;['Dusinënø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Salininkai,', 'Dusinënø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73175;1300;175,5 ;6;8,2 a;2021;Aeroterminis;Árengtas
Pavilnys,;['Pavilnio', 'Sodø', '19-oji', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];['Pavilnys,', 'Pavilnio', 'Sodø', '19-oji', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-73171;1150;133 ;13;3 a;2007;Dujinis;Árengtas
Antakalnis,;['Barsukynës', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Antakalnis,', 'Barsukynës', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73157;900;100 ;5;5 a;2021;Geoterminis;Árengtas
Zujûnai,;['Gelaþiø', 'g.,', 'blokinis', 'namas', 'nuomai'];['Zujûnai,', 'Gelaþiø', 'g.,', 'blokinis', 'namas', 'nuomai'];www.aruodas.lt/5-73149;150;200 ;4;15 a;2001;Dujinis;Árengtas
Antakalnis,;['mûrinis', 'sublokuotas', 'namas', 'nuomai'];['Antakalnis,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-73147;1750;138 ;20;1 a;2020;Aeroterminis;Árengtas
Kalnënai,;['Guriø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Kalnënai,', 'Guriø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73113;1500;124 ;23;3 a;2017;Dujinis;Árengtas
Pagiriai,;['Vëjo', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Pagiriai,', 'Vëjo', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73067;890;170 ;26;18 a;2008;Kietu kuru;Árengtas
Pilaitë,;['mûrinis', 'namas', 'nuomai'];['Pilaitë,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73049;3500;274,95 ;17;13,19 a;2017;Dujinis;Árengtas
Antakalnis,;['B.', 'Sruogos', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Antakalnis,', 'B.', 'Sruogos', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73025;950;85 ;12;9 a;2000;Dujinis;Árengtas
Antakalnis,;['B.', 'Sruogos', 'g.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];['Antakalnis,', 'B.', 'Sruogos', 'g.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];www.aruodas.lt/5-72795;950;85 ;22;9 a;2000;Dujinis;Árengtas
kampiai,;['Laurø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['kampiai,', 'Laurø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-73015;3500;292 ;12;18 a;2007;Dujinis;Árengtas
Eþeraièiø;['k.,', 'mûrinis', 'namas', 'nuomai'];['Eþeraièiø', 'k.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-72997;1700;120,71 ;3;20 a;2021;Geoterminis, dujinis;Árengtas
Gineitiðkiø;['k.,', 'Atþalyno', 'g.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];['Gineitiðkiø', 'k.,', 'Atþalyno', 'g.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];www.aruodas.lt/5-72965;380;50 ;7;1 a;1995;Dujinis;Árengtas
Uþupis,;['Polocko', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Uþupis,', 'Polocko', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-72951;2100;182 ;5;3,38 a;2000;Dujinis;Árengtas
Eþeraièiø;['k.,', 'mûrinis', 'namas', 'nuomai'];['Eþeraièiø', 'k.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-72933;1700;120,87 ;2;2,8 a;2016;Dujinis;Árengtas
Þvërynas,;['Þelvos', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Þvërynas,', 'Þelvos', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-72853;3800;450 ;5;3 a;2005;Dujinis;Árengtas
Eþeraièiø;['k.,', 'mûrinis', 'namas', 'nuomai'];['Eþeraièiø', 'k.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-70785;3750;350 ;7;6 a;2015;Dujinis;Árengtas
kampiai,;['Nemenèinës', 'pl.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];['kampiai,', 'Nemenèinës', 'pl.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-72773;4000;364 ;4;2,6 a;2007;Dujinis;Árengtas
Senamiestis,;['Vokieèiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Senamiestis,', 'Vokieèiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-72741;3000;120 ;0;1 a;1940;Dujinis;Árengtas
Grigaièiø;['k.,', 'Verslo', 'g.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];['Grigaièiø', 'k.,', 'Verslo', 'g.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];www.aruodas.lt/5-72659;400;190 ;12;20 a;2000;Dujinis;Árengtas
Þvërynas,;['Bebrø', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];['Þvërynas,', 'Bebrø', 'g.,', 'mûrinis', 'sublokuotas', 'namas', 'nuomai'];www.aruodas.lt/5-72619;2800;208,74 ;7;4 a;2018;Dujinis;Árengtas
Dvariðkiø;['vs.,', 'Dvariðkiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Dvariðkiø', 'vs.,', 'Dvariðkiø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-72375;1500;300 ;5;15 a;2009;Dujinis;Árengtas
Masioniø;['vs.,', 'Gardenijø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Masioniø', 'vs.,', 'Gardenijø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-72297;3650;350 ;4;6 a;2015;Dujinis;Árengtas
Lazdynëliai,;['Vakaro', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Lazdynëliai,', 'Vakaro', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-71655;135;600 ;20;6 a;2002;Dujinis;Árengtas
Masioniø;['vs.,', 'Gardenijø', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Masioniø', 'vs.,', 'Gardenijø', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-71519;1700;120,78 ;7;2 a;2012;Dujinis;Árengtas
Þvërynas,;['Vytauto', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Þvërynas,', 'Vytauto', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-70163;20000;1320 ;8;36,16 a;1940 statyba, 2006 renovacija;Dujinis;Árengtas
Medininkø;['k.,', 'Ðv.', 'Kazimiero', 'g.,', 'mûrinis', 'namas', 'nuomai'];['Medininkø', 'k.,', 'Ðv.', 'Kazimiero', 'g.,', 'mûrinis', 'namas', 'nuomai'];www.aruodas.lt/5-64565;600;147,75 ;31;25 a;1987;Elektra, skystu kuru, kietu kuru;Árengtas
Antakalnis,;['Ðvyturio', 'g.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];['Antakalnis,', 'Ðvyturio', 'g.,', 'mûrinio', 'namo', 'dalis', 'nuomai'];www.aruodas.lt/5-64139;900;137,74 ;44;10 a;1940;Centrinis;Árengtas
